dim,30,sampling,30,concurrency,1
count,1,2,3,
time(ms),19698,19509,19979,
time1(ms),5048.48,5223.1,5045.75,
time2(ms),14590.7,14227.5,14872.7,
time3(ms),0.327,0.253,0.437,
num_sample,357,351,355,
loop,37930,36712,37519,
norm,2.29521e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,30,concurrency,2
count,1,2,3,
time(ms),19582,21440,20742,
time1(ms),4998.84,5317.81,5092.95,
time2(ms),14524.1,16059.9,15586.8,
time3(ms),0.491,0.58,0.442,
num_sample,346,364,349,
loop,37605,38208,38691,
norm,2.29521e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,4
count,1,2,3,
time(ms),20261,21102,20439,
time1(ms),5099.81,5365.54,5173.29,
time2(ms),15100.1,15673.7,15204.7,
time3(ms),0.543,0.546,0.286,
num_sample,349,361,353,
loop,37452,38110,37250,
norm,2.29271e+06,2.29271e+06,2.29521e+06,
dim,30,sampling,30,concurrency,8
count,1,2,3,
time(ms),20985,20985,21405,
time1(ms),5602.79,5102.35,5244,
time2(ms),15320.8,15821,16098,
time3(ms),0.756,0.508,0.362,
num_sample,381,347,357,
loop,37373,38171,38610,
norm,2.29271e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,30,concurrency,16
count,1,2,3,
time(ms),20234,21534,21074,
time1(ms),5240.28,5430.16,5133.72,
time2(ms),14934.1,16042.6,15875.7,
time3(ms),0.436,0.415,0.595,
num_sample,361,374,351,
loop,36474,37833,38202,
norm,2.29521e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,32
count,1,2,3,
time(ms),20999,21662,22067,
time1(ms),5346.05,5150.76,5164.72,
time2(ms),15589.9,16447.4,16837,
time3(ms),0.751,0.485,0.879,
num_sample,358,352,347,
loop,37454,37927,37424,
norm,2.29271e+06,2.29521e+06,2.29271e+06,
dim,30
count,1,2,3,
time(ms),20561,21127,20132,
time1(ms),5603.22,5428.61,5125.75,
time2(ms),14897.5,15636.4,14945,
time3(ms),0.345,0.692,0.469,
num_sample,388,359,350,
loop,36897,37827,36794,
norm,2.29271e+06,2.29521e+06,2.29521e+06,
dim,30
count,1,2,3,
time(ms),20050,20585,19819,
time1(ms),5092.09,5232.71,5093.78,
time2(ms),14898.2,15291.3,14665.7,
time3(ms),0.393,0.35,0.39,
num_sample,357,368,348,
loop,37615,38331,36836,
norm,2.29521e+06,2.29271e+06,2.29521e+06,
dim,30
count,1,2,3,
time(ms),18736,19263,19043,
time1(ms),5007.56,5003.33,5050.75,
time2(ms),13671.7,14200.8,13934.5,
time3(ms),0.341,0.252,0.213,
num_sample,350,347,345,
loop,36252,36939,36101,
norm,2.29521e+06,2.29271e+06,2.29521e+06,
