dim,30,sampling,30,concurrency,1
count,1,2,3,
time(ms),60884,63800,57204,
time1(ms),6864.1,5762.47,6812.59,
time2(ms),53916.9,58011.8,50368.8,
time3(ms),22.271,19.109,16.402,
num_sample,385,388,382,
loop,1957,1962,1986,
norm,2.29521e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,30,concurrency,2
count,1,2,3,
time(ms),33884,34534,33831,
time1(ms),5550.21,5691.96,5699.76,
time2(ms),28318,28825.7,28115.1,
time3(ms),10.728,11.178,10.649,
num_sample,385,393,388,
loop,1942,1948,1912,
norm,2.29521e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,4
count,1,2,3,
time(ms),25863,25733,26249,
time1(ms),5552.59,5508.16,5588.38,
time2(ms),20294,20208.6,20643.3,
time3(ms),10.619,10.271,11.158,
num_sample,380,382,381,
loop,1921,1976,1937,
norm,2.29521e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,8
count,1,2,3,
time(ms),24233,24129,25151,
time1(ms),5793.91,5678.18,5682.37,
time2(ms),18424.8,18437.4,19454.4,
time3(ms),8.621,8.18,8.908,
num_sample,382,386,386,
loop,1959,1972,1997,
norm,2.29271e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,16
count,1,2,3,
time(ms),28965,30201,29852,
time1(ms),5616.78,5817.89,5632.51,
time2(ms),23334,24368,24204,
time3(ms),8.796,9.659,9.348,
num_sample,383,390,379,
loop,1904,1994,1950,
norm,2.29521e+06,2.29271e+06,2.29271e+06,
dim,30,sampling,30,concurrency,32
count,1,2,3,
time(ms),38322,37172,42602,
time1(ms),5851.53,5941.65,6190.3,
time2(ms),32456.1,31215.6,36394.7,
time3(ms),8.724,8.847,10.767,
num_sample,393,392,388,
loop,1968,1898,1919,
norm,2.29521e+06,2.29521e+06,2.29521e+06,
dim,30,sampling,30,concurrency,1
count,1,2,3,
time(ms),55804,56861,56597,
time1(ms),5776.93,5918.36,5761.06,
time2(ms),50000.2,50913.4,50807.4,
time3(ms),20.074,21.826,21.504,
num_sample,383,385,384,
loop,1942,1962,1967,
norm,2.29271e+06,2.29521e+06,2.29271e+06,
dim,30,sampling,30,concurrency,2
count,1,2,3,
time(ms),35826,39137,36378,
time1(ms),5757.03,6225.6,5844.05,
time2(ms),30046.6,32889,30510.6,
time3(ms),16.114,15.851,16.953,
num_sample,382,382,383,
loop,1957,1959,1954,
norm,2.29521e+06,2.29521e+06,2.29521e+06,
